"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/01/2018","569.884","1.305,30","1.320,40","1.304,60","279,73K","0,52%"
"02/01/2018","574.362","1.319,00","1.323,00","1.308,90","353,46K","0,18%"
"03/01/2018","568.486","1.315,50","1.327,30","1.307,10","369,85K","0,24%"
"04/01/2018","570.713","1.324,40","1.324,70","1.314,60","330,23K","0,05%"
"05/01/2018","569.908","1.321,80","1.323,00","1.315,70","246,09K","-0,14%"
"08/01/2018","569.747","1.321,20","1.321,40","1.309,50","333,53K","-0,51%"
"09/01/2018","566.742","1.313,30","1.328,60","1.308,90","391,66K","0,43%"
"10/01/2018","569.905","1.317,50","1.324,70","1.316,10","264,30K","0,24%"
"11/01/2018","571.297","1.323,60","1.340,00","1.320,80","365,20K","0,94%"
"12/01/2018","576.691","1.337,30","1.345,00","1.332,10","499,76K","0,16%"
"15/01/2018","578.076","1.339,20","1.346,50","1.335,00","0,46K","0,16%"
"16/01/2018","577.807","1.339,00","1.344,50","1.326,60","365,87K","-0,01%"
"17/01/2018","572.910","1.327,40","1.333,30","1.324,30","312,11K","-0,90%"
"18/01/2018","572.453","1.327,00","1.338,20","1.326,60","275,30K","0,44%"
"19/01/2018","572.192","1.334,00","1.335,80","1.328,00","337,48K","-0,09%"
"22/01/2018","573.893","1.333,00","1.341,50","1.330,70","370,17K","0,36%"
"23/01/2018","576.961","1.341,40","1.361,60","1.339,10","505,63K","1,47%"
"24/01/2018","582.718","1.357,00","1.365,40","1.341,00","537,66K","0,49%"
"25/01/2018","577.930","1.346,40","1.356,00","1.343,70","341,96K","-0,79%"
"26/01/2018","579.996","1.349,00","1.351,40","1.336,10","280,55K","-0,87%"
"29/01/2018","575.524","1.344,00","1.352,50","1.337,50","412,52K","-0,02%"
"30/01/2018","577.058","1.341,80","1.351,00","1.335,50","377,14K","0,23%"
"31/01/2018","579.295","1.348,20","1.354,30","1.340,20","310,50K","0,36%"
"01/02/2018","581.400","1.352,20","1.353,30","1.330,10","431,41K","-0,79%"
"02/02/2018","575.520","1.334,60","1.344,80","1.331,60","305,68K","-0,06%"
"05/02/2018","581.839","1.343,10","1.349,30","1.322,80","473,35K","-0,52%"
"06/02/2018","576.482","1.326,60","1.334,80","1.313,50","351,23K","-1,12%"
"07/02/2018","574.955","1.320,70","1.324,50","1.309,00","365,93K","0,33%"
"08/02/2018","577.612","1.321,00","1.325,00","1.313,20","317,67K","-0,25%"
"09/02/2018","576.817","1.317,10","1.330,00","1.316,30","208,07K","0,81%"
"12/02/2018","579.805","1.325,00","1.333,50","1.323,70","201,43K","0,30%"
"13/02/2018","584.296","1.331,90","1.358,60","1.319,10","431,72K","2,07%"
"14/02/2018","593.351","1.353,00","1.359,80","1.350,80","274,93K","-0,20%"
"15/02/2018","591.163","1.356,60","1.364,40","1.347,30","230,90K","0,07%"
"16/02/2018","586.627","1.350,20","1.354,00","1.330,60","374,05K","-1,84%"
"19/02/2018","586.333","1.350,20","1.354,00","1.330,60","374,05K","0,00%"
"20/02/2018","581.286","1.331,20","1.338,50","1.324,40","255,62K","0,07%"
"21/02/2018","580.550","1.326,20","1.334,40","1.322,90","206,24K","0,05%"
"22/02/2018","584.375","1.333,70","1.334,20","1.327,70","167,85K","-0,18%"
"23/02/2018","583.065","1.330,40","1.342,90","1.328,00","247,24K","0,19%"
"26/02/2018","584.314","1.334,70","1.338,40","1.314,40","334,72K","-1,07%"
"27/02/2018","579.006","1.318,90","1.323,70","1.316,70","263,80K","-0,05%"
"28/02/2018","581.295","1.319,30","1.322,30","1.303,60","421,74K","-0,96%"
"01/03/2018","581.163","1.318,00","1.326,60","1.316,20","264,39K","1,39%"
"02/03/2018","583.808","1.324,90","1.328,90","1.318,30","221,22K","-0,26%"
"05/03/2018","583.301","1.321,00","1.339,90","1.320,80","285,92K","1,16%"
"06/03/2018","591.787","1.339,50","1.342,00","1.323,00","305,08K","-0,57%"
"07/03/2018","585.889","1.326,20","1.329,80","1.319,60","252,83K","-0,44%"
"08/03/2018","585.464","1.322,70","1.325,90","1.313,20","345,32K","0,17%"
"09/03/2018","586.533","1.324,10","1.325,00","1.315,30","220,36K","-0,24%"
"12/03/2018","586.699","1.323,30","1.328,80","1.313,80","330,26K","0,48%"
"13/03/2018","586.820","1.326,70","1.330,50","1.321,70","252,58K","-0,11%"
"14/03/2018","585.926","1.324,70","1.328,10","1.314,90","257,89K","-0,59%"
"15/03/2018","582.130","1.316,80","1.321,80","1.309,50","289,60K","-0,42%"
"16/03/2018","581.250","1.312,90","1.319,60","1.307,40","300,47K","0,42%"
"19/03/2018","583.161","1.316,50","1.318,10","1.306,60","292,33K","-0,45%"
"20/03/2018","579.532","1.310,60","1.336,90","1.309,50","470,29K","0,73%"
"21/03/2018","589.652","1.332,00","1.335,00","1.324,60","358,56K","0,45%"
"22/03/2018","589.746","1.329,00","1.350,40","1.328,90","454,13K","1,70%"
